Countries and areas,Year,Latitude ,Longitude,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,% of GDP,Completion_Rate_Primary_Total,Completion_Rate_Lower_Secondary_Total,Completion_Rate_Upper_Secondary_Total,Youth_Literacy_Rate_Total,Gender_Parity_Primary,Gender_Parity_Lower_Secondary,Gender_Parity_Upper_Secondary
Tunisia,2021,33.886917,9.537499,94,97,68,80,40,57,0,0,115.4,31.7,5.1,191,148,97,0,1.031914894,1.176470588,1.425
Turkey,2021,38.963745,35.243322,99,98,96,92,51,44,0,0,93.2,23.9,5.2,197,188,95,0,0.98989899,0.958333333,0.862745098
Turkmenistan,2021,38.969719,59.556278,100,100,99,100,93,95,0,0,88.4,8,3.4,200,199,188,0,1,1.01010101,1.021505376
Tuvalu,2021,7.109535,177.64933,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0
Uganda,2021,1.373333,32.290275,39,43,27,23,18,15,89,90,102.7,4.8,3.8,82,50,33,179,1.102564103,0.851851852,0.833333333
Ukraine,2021,48.379433,31.16558,100,99,100,100,97,97,0,0,99,82.7,5,199,200,194,0,0.99,1,1
United Arab Emirates,2021,23.424076,53.847818,0,0,0,0,0,0,0,0,108.4,36.8,3.9,0,0,0,0,0,0,0
United Kingdom,2021,55.378051,3.435973,0,0,0,0,0,0,0,0,101.2,60,3.1,0,0,0,0,0,0,0
United States,2021,37.09024,95.712891,0,0,0,0,0,0,0,0,101.8,88.2,6.6,0,0,0,0,0,0,0
Uruguay,2021,32.522779,55.765835,96,98,66,73,48,29,99,99,108.5,63.1,4.4,194,139,77,198,1.020833333,1.106060606,0.604166667
Uzbekistan,2021,41.377491,64.585262,0,0,0,0,0,0,100,100,104.2,10.1,3,0,0,0,200,0,0,0
Vanuatu,2021,15.376706,166.959158,0,0,0,0,0,0,96,97,109.3,4.7,3.7,0,0,0,193,0,0,0
Venezuela,2021,6.42375,66.58973,0,0,0,0,0,0,0,0,97.2,79.3,2.6,0,0,0,0,0,0,0
Vietnam,2021,14.058324,108.277199,96,97,81,87,50,61,98,98,110.6,28.5,5.4,193,168,111,196,1.010416667,1.074074074,1.22
Yemen,2021,15.552727,48.516388,70,55,55,39,37,23,0,0,93.6,10.2,1.3,125,94,60,0,0.785714286,0.709090909,0.621621622
Zambia,2021,13.133897,27.849332,71,73,54,50,33,27,93,92,98.7,4.1,3.9,144,104,60,185,1.028169014,0.925925926,0.818181818
Zimbabwe,2021,19.015438,29.154857,86,92,45,53,17,14,0,0,109.9,10,6.1,178,98,31,0,1.069767442,1.177777778,0.823529412
